ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2017,9,27,16,2,0,0.00,9,16.00,139,304.00,10,22.00,0,0.00,158,342.00
2017,9,27,17,2,0,0.00,7,8.00,38,76.00,4,6.00,0,0.00,49,90.00
2017,9,28,8,3,0,0.00,11,21.00,77,188.00,9,30.00,0,0.00,97,239.00
2017,9,28,9,3,0,0.00,7,12.00,135,296.00,5,10.00,0,0.00,147,318.00
2017,9,28,10,3,0,0.00,12,18.00,148,323.00,11,22.00,0,0.00,171,363.00
2017,9,28,11,3,0,0.00,10,16.00,112,246.00,5,10.00,0,0.00,127,272.00
2017,9,28,12,3,0,0.00,20,29.00,79,170.00,17,38.00,0,0.00,116,237.00
2017,9,28,13,3,0,0.00,12,22.00,139,309.00,4,6.00,0,0.00,155,337.00
2017,9,28,14,3,0,0.00,20,28.00,165,358.00,6,12.00,0,0.00,191,398.00
2017,9,28,15,3,0,0.00,20,34.00,158,334.00,9,17.00,0,0.00,187,385.00
2017,9,28,16,3,0,0.00,19,24.00,150,310.00,11,25.00,0,0.00,180,359.00
2017,9,28,17,3,0,0.00,15,21.00,48,96.00,4,8.00,0,0.00,67,125.00
2017,9,29,1,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,2.00
2017,9,29,8,4,0,0.00,8,13.00,107,237.00,3,5.00,0,0.00,118,255.00
2017,9,29,9,4,0,0.00,16,27.00,150,329.00,4,8.00,0,0.00,170,364.00
2017,9,29,10,4,0,0.00,18,25.00,164,356.00,11,22.00,0,0.00,193,403.00
2017,9,29,11,4,0,0.00,12,19.00,92,200.00,17,35.00,0,0.00,121,254.00
2017,9,29,12,4,0,0.00,15,22.00,73,156.00,17,39.00,0,0.00,105,217.00
2017,9,29,13,4,0,0.00,12,17.00,147,326.00,16,35.00,0,0.00,175,378.00
2017,9,29,14,4,0,0.00,24,39.00,188,432.00,10,21.00,0,0.00,222,492.00
2017,9,29,15,4,0,0.00,7,11.00,140,314.00,14,32.00,0,0.00,161,357.00
2017,9,29,16,4,0,0.00,11,19.00,156,330.00,9,18.00,0,0.00,176,367.00
2017,9,29,17,4,0,0.00,18,24.00,34,68.00,5,10.00,0,0.00,57,102.00
2017,9,30,8,5,0,0.00,11,22.00,47,118.00,1,4.00,0,0.00,59,144.00
2017,9,30,9,5,0,0.00,18,33.00,141,328.00,6,14.00,0,0.00,165,375.00
2017,9,30,10,5,0,0.00,22,32.00,220,480.00,12,29.00,0,0.00,254,541.00
2017,9,30,11,5,0,0.00,25,37.00,239,508.00,20,44.00,0,0.00,284,589.00
2017,9,30,12,5,0,0.00,20,29.00,77,156.00,9,19.00,0,0.00,106,204.00
2017,9,30,13,5,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,2,6.00
2017,10,2,8,0,0,0.00,17,28.00,94,210.00,4,8.00,0,0.00,115,246.00
2017,10,2,9,0,0,0.00,8,11.00,161,348.00,3,8.00,0,0.00,172,367.00
2017,10,2,10,0,0,0.00,19,25.00,216,466.00,17,34.00,0,0.00,252,525.00
2017,10,2,11,0,0,0.00,10,10.00,133,288.00,13,28.00,0,0.00,156,326.00
2017,10,2,12,0,0,0.00,15,22.00,103,228.00,9,18.00,0,0.00,127,268.00
2017,10,2,13,0,0,0.00,18,25.00,152,336.00,20,38.00,0,0.00,190,399.00
2017,10,2,14,0,0,0.00,15,26.00,92,206.00,17,32.00,0,0.00,124,264.00
2017,10,2,15,0,0,0.00,13,20.00,120,268.00,8,20.00,0,0.00,141,308.00
2017,10,2,16,0,0,0.00,17,27.00,116,254.00,8,16.00,0,0.00,141,297.00
2017,10,2,17,0,0,0.00,17,24.00,21,42.00,8,15.00,0,0.00,47,83.00
2017,10,3,8,1,0,0.00,13,23.00,102,240.00,7,22.00,0,0.00,122,285.00
2017,10,3,9,1,0,0.00,11,15.00,171,368.00,4,8.00,0,0.00,186,391.00
2017,10,3,10,1,0,0.00,17,28.00,181,380.00,10,24.00,0,0.00,208,432.00
2017,10,3,11,1,0,0.00,19,24.00,133,280.00,13,28.00,0,0.00,165,332.00
2017,10,3,12,1,0,0.00,17,24.00,131,276.00,12,26.00,0,0.00,160,326.00
2017,10,3,13,1,0,0.00,18,34.00,139,304.00,17,44.00,0,0.00,174,382.00
2017,10,3,14,1,0,0.00,28,47.00,214,470.00,19,40.00,0,0.00,261,557.00
2017,10,3,15,1,0,0.00,22,29.00,167,356.00,15,30.00,0,0.00,204,415.00
2017,10,3,16,1,0,0.00,23,35.00,128,270.00,8,18.00,0,0.00,159,323.00
2017,10,3,17,1,0,0.00,12,16.00,29,58.00,9,18.00,0,0.00,50,92.00
2017,10,4,8,2,0,0.00,13,21.00,42,88.00,7,14.00,0,0.00,62,123.00
2017,10,4,9,2,0,0.00,23,32.00,157,350.00,11,22.00,0,0.00,191,404.00
2017,10,4,10,2,0,0.00,26,38.00,162,350.00,13,26.00,0,0.00,201,414.00
2017,10,4,11,2,0,0.00,17,21.00,107,220.00,11,24.00,0,0.00,135,265.00
2017,10,4,12,2,0,0.00,14,15.00,80,176.00,8,18.00,0,0.00,102,209.00
2017,10,4,13,2,0,0.00,16,25.00,150,328.00,20,45.00,0,0.00,186,398.00
2017,10,4,14,2,0,0.00,25,40.00,184,408.00,11,26.00,0,0.00,220,474.00
2017,10,4,15,2,0,0.00,25,41.00,156,344.00,14,34.00,0,0.00,195,419.00
2017,10,4,16,2,0,0.00,16,18.00,138,284.00,7,14.00,0,0.00,161,316.00
2017,10,4,17,2,0,0.00,13,16.00,39,78.00,4,8.00,0,0.00,56,102.00
2017,10,5,6,3,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,1.00
2017,10,5,8,3,0,0.00,29,54.00,53,116.00,12,26.00,0,0.00,94,196.00
2017,10,5,9,3,0,0.00,16,19.00,126,276.00,10,20.00,0,0.00,152,315.00
2017,10,5,10,3,0,0.00,20,31.00,185,416.00,11,24.00,0,0.00,216,471.00
2017,10,5,11,3,0,0.00,16,20.00,131,272.00,8,15.00,0,0.00,155,307.00
2017,10,5,12,3,0,0.00,17,17.00,87,184.00,9,18.00,0,0.00,113,219.00
2017,10,5,13,3,0,0.00,12,23.00,98,212.00,8,14.00,0,0.00,118,249.00
2017,10,5,14,3,0,0.00,16,24.00,193,416.00,5,12.00,0,0.00,215,457.00
2017,10,5,15,3,0,0.00,18,31.00,155,332.00,5,10.00,0,0.00,178,373.00
2017,10,5,16,3,0,0.00,26,35.00,159,332.00,8,16.00,0,0.00,193,383.00
2017,10,5,17,3,0,0.00,7,8.00,29,58.00,3,6.00,0,0.00,39,72.00
2017,10,6,7,4,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,8.00
2017,10,6,8,4,0,0.00,12,21.00,61,138.00,10,25.00,0,0.00,83,184.00
2017,10,6,9,4,0,0.00,19,28.00,158,345.00,8,13.00,0,0.00,186,393.00
2017,10,6,10,4,0,0.00,31,41.00,171,366.00,6,12.00,0,0.00,208,419.00
2017,10,6,11,4,0,0.00,15,21.00,121,256.00,7,14.00,0,0.00,144,298.00
2017,10,6,12,4,0,0.00,15,19.00,86,184.00,21,47.00,0,0.00,122,250.00
2017,10,6,13,4,0,0.00,25,34.00,154,350.00,22,51.00,0,0.00,201,435.00
2017,10,6,14,4,0,0.00,16,27.00,218,478.00,7,16.00,0,0.00,241,521.00
2017,10,6,15,4,0,0.00,19,27.00,212,450.00,4,8.00,0,0.00,235,485.00
2017,10,6,16,4,0,0.00,20,26.00,131,278.00,7,18.00,0,0.00,158,322.00
2017,10,6,17,4,0,0.00,15,19.00,53,108.00,7,14.00,0,0.00,75,141.00
2017,10,7,8,5,0,0.00,11,16.00,68,148.00,5,14.00,0,0.00,84,178.00
2017,10,7,9,5,0,0.00,31,49.00,228,522.00,8,18.00,0,0.00,267,589.00
2017,10,7,10,5,0,0.00,21,34.00,226,491.00,17,44.00,0,0.00,264,569.00
2017,10,7,11,5,0,0.00,31,50.00,245,516.00,13,28.00,0,0.00,289,594.00
2017,10,7,12,5,0,0.00,22,29.00,74,154.00,4,8.00,0,0.00,100,191.00
2017,10,9,8,0,0,0.00,7,13.00,54,128.00,8,23.00,0,0.00,69,164.00
2017,10,9,9,0,0,0.00,13,22.00,178,400.00,16,35.00,0,0.00,207,457.00
2017,10,9,10,0,0,0.00,21,32.00,215,460.00,9,20.00,0,0.00,245,512.00
2017,10,9,11,0,0,0.00,31,39.00,114,246.00,7,14.00,0,0.00,152,299.00
2017,10,9,12,0,0,0.00,19,25.00,117,244.00,4,8.00,0,0.00,140,277.00
2017,10,9,13,0,0,0.00,9,10.00,137,316.00,11,26.00,0,0.00,157,352.00
2017,10,9,14,0,0,0.00,19,24.00,244,512.00,12,32.00,0,0.00,275,568.00
2017,10,9,15,0,0,0.00,18,21.00,193,422.00,10,22.00,0,0.00,222,469.00
2017,10,9,16,0,0,0.00,16,21.00,161,336.00,8,18.00,0,0.00,185,375.00
2017,10,9,17,0,0,0.00,16,18.00,52,104.00,7,14.00,0,0.00,75,136.00
2017,10,10,8,1,0,0.00,13,25.00,67,154.00,12,27.00,0,0.00,92,206.00
2017,10,10,9,1,0,0.00,15,16.00,163,366.00,7,20.00,0,0.00,185,402.00
2017,10,10,10,1,0,0.00,18,23.00,193,410.00,9,18.00,0,0.00,220,451.00
2017,10,10,11,1,0,0.00,20,22.00,116,246.00,17,34.00,0,0.00,153,302.00
2017,10,10,12,1,0,0.00,24,30.00,101,222.00,11,24.00,0,0.00,136,276.00
2017,10,10,13,1,0,0.00,28,43.00,126,292.00,6,14.00,0,0.00,160,349.00
2017,10,10,14,1,0,0.00,26,40.00,225,501.00,9,22.00,0,0.00,260,563.00
2017,10,10,15,1,0,0.00,23,25.00,193,409.00,6,12.00,0,0.00,222,446.00
2017,10,10,16,1,0,0.00,16,24.00,147,306.00,5,16.00,0,0.00,168,346.00
2017,10,10,17,1,0,0.00,16,17.00,39,78.00,5,10.00,0,0.00,60,105.00
2017,10,11,8,2,0,0.00,9,19.00,54,118.00,4,8.00,0,0.00,67,145.00
2017,10,11,9,2,0,0.00,24,35.00,165,366.00,9,21.00,0,0.00,198,422.00
2017,10,11,10,2,0,0.00,23,28.00,192,405.00,6,14.00,0,0.00,221,447.00
2017,10,11,11,2,0,0.00,20,26.00,117,246.00,4,10.00,0,0.00,141,282.00
2017,10,11,12,2,0,0.00,28,33.00,116,246.00,15,31.00,0,0.00,159,310.00
2017,10,11,13,2,0,0.00,24,34.00,140,304.00,13,28.00,0,0.00,177,366.00
2017,10,11,14,2,0,0.00,24,37.00,194,405.00,8,15.00,0,0.00,226,457.00
2017,10,11,15,2,0,0.00,29,34.00,196,432.00,4,8.00,0,0.00,229,474.00
2017,10,11,16,2,0,0.00,27,37.00,174,373.00,8,14.00,0,0.00,209,424.00
2017,10,11,17,2,0,0.00,12,15.00,35,70.00,5,10.00,0,0.00,52,95.00
2017,10,13,8,4,0,0.00,9,20.00,46,104.00,9,19.00,0,0.00,64,143.00
2017,10,13,9,4,0,0.00,13,19.00,185,410.00,7,18.00,0,0.00,205,447.00
2017,10,13,10,4,0,0.00,23,29.00,202,438.00,8,15.00,0,0.00,233,482.00
2017,10,13,11,4,0,0.00,21,32.00,142,304.00,8,16.00,0,0.00,171,352.00
2017,10,13,12,4,0,0.00,18,21.00,122,264.00,12,34.00,0,0.00,152,319.00
2017,10,13,13,4,0,0.00,23,32.00,118,252.00,13,28.00,0,0.00,154,312.00
2017,10,13,14,4,0,0.00,20,23.00,211,464.00,6,14.00,0,0.00,237,501.00
2017,10,13,15,4,0,0.00,22,26.00,157,336.00,8,16.00,0,0.00,187,378.00
