ano,mes,dia,hora,Dia_semana,QTD_Associacao,R$_Associacao,QTD_App,R$_APP,QTD_Monitor,R$_Monitor,QTD_parquimetro,parquimetro,QTD_pdv,pdv,QTD_Total,R$_total
2016,3,15,18,1,0,0.00,23,23.00,158,167.00,0,0.00,0,0.00,181,190.00
2016,3,15,19,1,0,0.00,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00
2016,3,15,22,1,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,16,0,2,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,16,8,2,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,16,9,2,0,0.00,25,30.00,138,208.00,0,0.00,0,0.00,163,238.00
2016,3,16,10,2,0,0.00,53,66.00,385,530.00,0,0.00,0,0.00,438,596.00
2016,3,16,11,2,0,0.00,59,70.00,453,589.00,0,0.00,0,0.00,512,659.00
2016,3,16,12,2,0,0.00,55,61.00,270,368.00,0,0.00,0,0.00,325,429.00
2016,3,16,13,2,0,0.00,21,23.00,167,229.00,1,1.00,0,0.00,189,253.00
2016,3,16,14,2,0,0.00,40,49.00,299,413.00,0,0.00,0,0.00,339,462.00
2016,3,16,15,2,0,0.00,68,77.00,486,670.00,0,0.00,0,0.00,554,747.00
2016,3,16,16,2,0,0.00,56,67.00,416,530.00,0,0.00,0,0.00,472,597.00
2016,3,16,17,2,0,0.00,39,43.00,341,420.00,0,0.00,0,0.00,380,463.00
2016,3,16,18,2,0,0.00,27,23.00,141,146.00,0,0.00,0,0.00,168,169.00
2016,3,16,19,2,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,17,9,3,0,0.00,25,30.00,225,341.00,0,0.00,0,0.00,250,371.00
2016,3,17,10,3,0,0.00,46,51.00,376,529.00,0,0.00,0,0.00,422,580.00
2016,3,17,11,3,0,0.00,75,83.00,433,620.00,0,0.00,0,0.00,508,703.00
2016,3,17,12,3,0,0.00,44,48.00,268,343.00,0,0.00,0,0.00,312,391.00
2016,3,17,13,3,0,0.00,30,35.00,179,248.00,0,0.00,0,0.00,209,283.00
2016,3,17,14,3,0,0.00,52,63.00,288,424.00,0,0.00,0,0.00,340,487.00
2016,3,17,15,3,0,0.00,55,63.00,390,532.00,0,0.00,0,0.00,445,595.00
2016,3,17,16,3,0,0.00,67,77.00,423,584.00,0,0.00,0,0.00,490,661.00
2016,3,17,17,3,0,0.00,61,69.00,374,457.00,0,0.00,0,0.00,435,526.00
2016,3,17,18,3,0,0.00,23,23.00,152,152.00,0,0.00,0,0.00,175,175.00
2016,3,17,23,3,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,18,8,4,0,0.00,3,9.00,0,0.00,0,0.00,0,0.00,3,9.00
2016,3,18,9,4,0,0.00,24,33.00,169,238.00,0,0.00,0,0.00,193,271.00
2016,3,18,10,4,0,0.00,64,73.00,452,641.00,0,0.00,0,0.00,516,714.00
2016,3,18,11,4,0,0.00,68,78.00,423,588.00,0,0.00,0,0.00,491,666.00
2016,3,18,12,4,0,0.00,46,53.00,275,354.00,0,0.00,0,0.00,321,407.00
2016,3,18,13,4,0,0.00,29,34.00,154,197.00,0,0.00,0,0.00,183,231.00
2016,3,18,14,4,0,0.00,78,97.00,300,402.00,0,0.00,0,0.00,378,499.00
2016,3,18,15,4,0,0.00,67,81.00,406,585.00,0,0.00,0,0.00,473,666.00
2016,3,18,16,4,0,0.00,62,72.00,397,543.00,0,0.00,0,0.00,459,615.00
2016,3,18,17,4,0,0.00,82,99.00,382,481.00,0,0.00,0,0.00,464,580.00
2016,3,18,18,4,0,0.00,28,22.00,122,129.00,0,0.00,0,0.00,150,151.00
2016,3,19,8,5,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,19,9,5,0,0.00,29,51.00,206,296.00,0,0.00,0,0.00,235,347.00
2016,3,19,10,5,0,0.00,57,74.00,513,750.00,0,0.00,0,0.00,570,824.00
2016,3,19,11,5,0,0.00,87,103.00,487,667.00,0,0.00,0,0.00,574,770.00
2016,3,19,12,5,0,0.00,37,36.00,261,291.00,0,0.00,0,0.00,298,327.00
2016,3,19,13,5,0,0.00,4,5.00,0,0.00,0,0.00,0,0.00,4,5.00
2016,3,19,18,5,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,21,8,0,0,0.00,2,2.00,0,0.00,0,0.00,0,0.00,2,2.00
2016,3,21,9,0,0,0.00,34,46.00,197,280.00,0,0.00,0,0.00,231,326.00
2016,3,21,10,0,0,0.00,56,60.00,401,542.00,0,0.00,0,0.00,457,602.00
2016,3,21,11,0,0,0.00,74,90.00,443,570.00,0,0.00,0,0.00,517,660.00
2016,3,21,12,0,0,0.00,74,79.00,262,347.00,0,0.00,0,0.00,336,426.00
2016,3,21,13,0,0,0.00,48,53.00,144,196.00,0,0.00,0,0.00,192,249.00
2016,3,21,14,0,0,0.00,75,85.00,250,348.00,0,0.00,0,0.00,325,433.00
2016,3,21,15,0,0,0.00,97,109.00,460,622.00,0,0.00,0,0.00,557,731.00
2016,3,21,16,0,0,0.00,57,74.00,425,542.00,0,0.00,0,0.00,482,616.00
2016,3,21,17,0,0,0.00,67,71.00,337,413.00,0,0.00,0,0.00,404,484.00
2016,3,21,18,0,0,0.00,29,28.00,125,131.00,0,0.00,0,0.00,154,159.00
2016,3,21,21,0,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,22,7,1,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,22,8,1,0,0.00,1,1.00,0,0.00,0,0.00,0,0.00,1,1.00
2016,3,22,9,1,0,0.00,39,49.00,167,238.00,0,0.00,0,0.00,206,287.00
2016,3,22,10,1,0,0.00,46,58.00,375,494.00,0,0.00,0,0.00,421,552.00
2016,3,22,11,1,0,0.00,70,78.00,385,507.00,0,0.00,0,0.00,455,585.00
2016,3,22,12,1,0,0.00,63,72.00,240,315.00,0,0.00,0,0.00,303,387.00
2016,3,22,13,1,0,0.00,32,35.00,120,159.00,0,0.00,0,0.00,152,194.00
2016,3,22,14,1,0,0.00,60,74.00,181,263.00,0,0.00,0,0.00,241,337.00
2016,3,22,15,1,0,0.00,88,98.00,316,448.00,0,0.00,0,0.00,404,546.00
